pair,month,minutes,hole,crossed_minutes,bid_match,ask_match,quality,included,triangulation_pips
NZDUSD,2026-02,28685,False,0,1.0,1.0,True,True,
NZDUSD,2026-03,31728,False,0,1.0,1.0,True,True,
NZDUSD,2026-04,31389,False,0,0.9981,0.9981,True,True,
NZDUSD,2026-05,29971,False,0,1.0,0.998,True,True,
NZDUSD,2026-06,31449,False,0,1.0,1.0,True,True,
NZDUSD,2026-07,32735,False,0,0.9982,0.9982,True,True,
NZDUSD,2026-08,30228,False,0,0.998,1.0,True,True,
NZDUSD,2026-09,240,True,0,0.0,0.0,False,False,
USDCAD,2019-01,31765,False,0,1.0,1.0,True,True,
USDCAD,2019-02,28799,False,0,1.0,1.0,True,True,
USDCAD,2019-03,30172,False,0,1.0,1.0,True,True,
USDCAD,2019-04,31653,False,0,1.0,1.0,True,True,
USDCAD,2019-05,32142,False,0,1.0,1.0,True,True,
USDCAD,2019-06,28970,False,0,1.0,1.0,True,True,
USDCAD,2019-07,33084,False,0,1.0,1.0,True,True,
USDCAD,2019-08,31455,False,0,1.0,1.0,True,True,
USDCAD,2019-09,30375,False,0,0.998,0.998,True,True,
USDCAD,2019-10,33066,False,0,1.0,1.0,True,True,
USDCAD,2019-11,30039,False,0,1.0,1.0,True,True,
USDCAD,2019-12,30726,False,0,0.998,0.998,True,True,
USDCAD,2020-01,31655,False,0,1.0,1.0,True,True,
USDCAD,2020-02,28599,False,0,1.0,1.0,True,True,
USDCAD,2020-03,31765,False,0,1.0,1.0,True,True,
USDCAD,2020-04,31637,False,0,1.0,1.0,True,True,
USDCAD,2020-05,30198,False,0,1.0,1.0,True,True,
USDCAD,2020-06,31638,False,0,1.0,1.0,True,True,
USDCAD,2020-07,32905,False,0,1.0,1.0,True,True,
USDCAD,2020-08,30292,False,0,1.0,1.0,True,True,
USDCAD,2020-09,31528,False,0,1.0,1.0,True,True,
USDCAD,2020-10,31352,False,0,1.0,1.0,True,True,
USDCAD,2020-11,29061,False,0,1.0,1.0,True,True,
USDCAD,2020-12,31604,False,0,0.9981,0.9981,True,True,
USDCAD,2021-01,28760,False,0,1.0,1.0,True,True,
USDCAD,2021-02,28593,False,0,1.0,1.0,True,True,
USDCAD,2021-03,32939,False,0,1.0,1.0,True,True,
USDCAD,2021-04,31139,False,0,1.0,1.0,True,True,
USDCAD,2021-05,28824,False,0,1.0,1.0,True,True,
USDCAD,2021-06,31231,False,0,1.0,1.0,True,True,
USDCAD,2021-07,31193,False,0,1.0,1.0,True,True,
USDCAD,2021-08,31361,False,0,1.0,1.0,True,True,
USDCAD,2021-09,31297,False,0,1.0,1.0,True,True,
USDCAD,2021-10,29893,False,0,1.0,1.0,True,True,
USDCAD,2021-11,31368,False,0,1.0,1.0,True,True,
USDCAD,2021-12,32767,False,0,1.0,1.0,True,True,
USDCAD,2022-01,30253,False,0,1.0,1.0,True,True,
USDCAD,2022-02,28724,False,0,1.0,1.0,True,True,
USDCAD,2022-03,32917,False,0,1.0,1.0,True,True,
USDCAD,2022-04,29797,False,0,1.0,1.0,True,True,
USDCAD,2022-05,31598,False,0,0.9981,0.9981,True,True,
USDCAD,2022-06,31427,False,0,0.9981,0.9962,True,True,
USDCAD,2022-07,30024,False,0,1.0,1.0,True,True,
USDCAD,2022-08,32962,False,0,1.0,1.0,True,True,
USDCAD,2022-09,31302,False,0,0.9981,0.9981,True,True,
USDCAD,2022-10,30094,False,0,0.996,0.996,True,True,
USDCAD,2022-11,31184,False,0,0.9943,0.9943,True,True,
USDCAD,2022-12,31059,False,0,1.0,1.0,True,True,
USDCAD,2023-01,31043,False,0,1.0,1.0,True,True,
USDCAD,2023-02,25582,True,0,1.0,1.0,True,False,
USDCAD,2023-03,23339,True,0,1.0,1.0,True,False,
USDCAD,2023-04,19861,True,0,0.994,0.994,True,False,
USDCAD,2023-05,23202,True,0,1.0,1.0,True,False,
USDCAD,2023-06,22227,True,0,1.0,1.0,True,False,
USDCAD,2023-07,21731,True,0,0.9973,0.9973,True,False,
USDCAD,2023-08,32819,False,0,1.0,1.0,True,True,
USDCAD,2023-09,29647,False,0,0.986,0.984,False,False,
USDCAD,2023-10,31672,False,0,1.0,1.0,True,True,
USDCAD,2023-11,31401,False,0,1.0,1.0,True,True,
USDCAD,2023-12,28756,False,0,0.9918,0.9959,True,True,
